kategoria,transkrypt,gc_5prime,gc_overall,dlugosc
INTERGENIC,"ENSG00000227613[1,1,1]|retro_human_4043|QRSL1P2-201|processed_pseudogene|chr1:221495756-221496820(-)",0.39,0.3919172932330827,1064
INTERGENIC,"ENSG00000188460[1,1,1]|retro_human_1299|ACTBP11-201|processed_pseudogene|chr1:223053403-223054629(-)",0.63,0.5766721044045677,1226
INTERGENIC,"ENSG00000229367[1,1,1]|retro_human_2071|HMGN2P19-201|processed_pseudogene|chr1:228949235-228949600(+)",0.61,0.5205479452054794,365
INTERGENIC,"ENSG00000233018[1,1,1]|retro_human_5729|AL732292.1-201|processed_pseudogene|chr1:234488863-234489189(-)",0.5,0.5122699386503068,326
INTERGENIC,"ENSG00000230199[1,1,1]|AL603825.1-201|processed_pseudogene|chr1:242386024-242386204(+)",0.56,0.5388888888888889,180
INTERGENIC,"ENSG00000225401[1,1,1]|retro_human_4845|TGIF2P1-201|processed_pseudogene|chr1:243811315-243812100(-)",0.6,0.5936305732484076,785
INTERGENIC,"ENSG00000226164[1,1,1]|FGFR3P6-201|processed_pseudogene|chr1:246551987-246552697(+)",0.62,0.5957746478873239,710
INTERGENIC,"ENSG00000224014[1,1,1]|retro_human_130|AL390728.3-201|processed_pseudogene|chr1:246608262-246608632(+)",0.38,0.4702702702702703,370
INTERGENIC,"ENSG00000233084[1,1,1]|retro_human_4465|RPL23AP25-201|processed_pseudogene|chr1:248375151-248375714(+)",0.39,0.46536412078152756,563
INTERGENIC,"ENSG00000213403[1,1,1]|retro_human_7359|CISD1P1-201|processed_pseudogene|chr2:19859761-19860188(+)",0.5,0.4215456674473068,427
INTERGENIC,"ENSG00000235411[1,1,1]|retro_human_5692|DRG1P1-201|processed_pseudogene|chr2:20273380-20274635(-)",0.58,0.4613545816733068,1255
INTERGENIC,"ENSG00000225024[1,1,1]|retro_human_325|RPL37P11-201|processed_pseudogene|chr2:26717273-26717665(-)",0.47,0.4336734693877551,392
INTERGENIC,"ENSG00000237007[1,1,1]|retro_human_3107|KRT18P52-201|processed_pseudogene|chr2:31868910-31871896(-)",0.46,0.485934360348292,2986
INTERGENIC,"ENSG00000237007[1,1,1]|retro_human_6102|KRT18P52-201|processed_pseudogene|chr2:31868910-31871896(-)",0.46,0.485934360348292,2986
INTERGENIC,"ENSG00000271443[2,2,2]|retro_human_10337|AC011247.2-201|transcribed_processed_pseudogene|chr2:38542428-38543210(-)",0.74,0.6268656716417911,670
INTERGENIC,"ENSG00000271443[2,2,2]|AC011247.2-202|transcribed_processed_pseudogene|chr2:38542428-38543210(-)",0.74,0.6268656716417911,670
INTERGENIC,"ENSG00000271115[1,1,1]|retro_human_3162|EIF2S2P7-201|processed_pseudogene|chr2:57045308-57046395(-)",0.47,0.38546458141674333,1087
INTERGENIC,"ENSG00000233426[1,1,1]|retro_human_8545|EIF3FP3-201|processed_pseudogene|chr2:58256218-58257404(+)",0.51,0.5480607082630692,1186
INTERGENIC,"ENSG00000237522[1,1,1]|retro_human_9440|NONOP2-201|processed_pseudogene|chr2:60942604-60943935(-)",0.56,0.48159278737791134,1331
INTERGENIC,"ENSG00000232713[1,1,1]|retro_human_9439|RPS12P3-201|processed_pseudogene|chr2:60943989-60944488(-)",0.56,0.4749498997995992,499
INTERGENIC,"ENSG00000242735[1,1,1]|retro_human_5408|RPSAP26-201|processed_pseudogene|chr2:62152589-62153430(+)",0.5,0.5196195005945303,841
INTERGENIC,"ENSG00000227791[1,1,1]|retro_human_9108|RPS10P9-201|processed_pseudogene|chr2:64674995-64675553(+)",0.46,0.5232974910394266,558
INTERGENIC,"ENSG00000273763[1,1,1]|AC007318.1-202|transcribed_processed_pseudogene|chr2:65213121-65213533(-)",0.43,0.40048543689320387,412
INTERGENIC,"ENSG00000172974[1,1,1]|retro_human_10945|VDAC2P5-201|processed_pseudogene|chr2:65214727-65215708(+)",0.66,0.46279306829765543,981
INTERGENIC,"ENSG00000214533[1,1,1]|retro_human_8955|KRT18P33-201|processed_pseudogene|chr2:65677444-65678587(+)",0.6,0.5503062117235346,1143
INTERGENIC,"ENSG00000236259[1,1,1]|retro_human_8954|PPIAP64-201|processed_pseudogene|chr2:68135763-68136346(+)",0.54,0.483704974271012,583
INTERGENIC,"ENSG00000233971[1,1,1]|retro_human_3962|RPS20P10-201|processed_pseudogene|chr2:71996880-71997233(-)",0.32,0.37110481586402266,353
INTERGENIC,"ENSG00000225658[1,1,1]|retro_human_7540|TAF13P2-201|processed_pseudogene|chr2:74359645-74360031(+)",0.36,0.35233160621761656,386
INTERGENIC,"ENSG00000214429[1,1,1]|retro_human_4347|CYCSP6-201|processed_pseudogene|chr2:78417700-78418102(-)",0.42,0.43283582089552236,402
INTERGENIC,"ENSG00000213399[1,1,1]|retro_human_8980|RPS2P17-201|processed_pseudogene|chr2:84917642-84918537(+)",0.72,0.582122905027933,895
INTERGENIC,"ENSG00000270532[1,1,1]|retro_human_10677|PEBP1P2-201|processed_pseudogene|chr2:85343221-85343879(-)",0.66,0.5820668693009119,658
INTERGENIC,"ENSG00000203363[1,1,1]|GPR160P1-201|processed_pseudogene|chr2:85688062-85689161(-)",0.32,0.4049135577797998,1099
INTERGENIC,"ENSG00000214354[1,1,1]|retro_human_10673|PAFAH1B1P1-201|processed_pseudogene|chr2:87577847-87578884(-)",0.41,0.4522661523625844,1037
INTERGENIC,"ENSG00000225933[1,1,1]|retro_human_4002|RPS14P5-201|processed_pseudogene|chr2:87666824-87667278(+)",0.44,0.4889867841409692,454
INTERGENIC,"ENSG00000226481[1,1,1]|retro_human_3267|ACTR3BP2-201|processed_pseudogene|chr2:92100323-92101796(-)",0.59,0.4304141208418194,1473
INTERGENIC,"ENSG00000213355[1,1,1]|retro_human_8214|CNN2P8-201|processed_pseudogene|chr2:95243809-95244822(+)",0.67,0.5873642645607108,1013
INTERGENIC,"ENSG00000269383[1,1,1]|retro_human_4376|CYCSP7-201|processed_pseudogene|chr2:100829048-100829439(-)",0.37,0.41687979539641945,391
INTERGENIC,"ENSG00000205716[1,1,1]|retro_human_9459|FAM183DP-201|processed_pseudogene|chr2:102708077-102708575(-)",0.61,0.5843373493975904,498
INTERGENIC,"ENSG00000235325[1,1,1]|retro_human_3986|SRSF3P5-201|processed_pseudogene|chr2:108382260-108382851(-)",0.44,0.4619289340101523,591
INTERGENIC,"ENSG00000227597[1,1,1]|retro_human_3612|WASF1P1-201|processed_pseudogene|chr2:108737643-108738874(+)",0.28,0.4687246141348497,1231
INTERGENIC,"ENSG00000235644[1,1,1]|retro_human_3990|RPL10P5-201|processed_pseudogene|chr2:109172812-109173551(-)",0.55,0.5317997293640054,739
INTERGENIC,"ENSG00000240069[1,1,1]|retro_human_9959|GPAA1P1-201|transcribed_processed_pseudogene|chr2:110406267-110407298(+)",0.38,0.5955383123181377,1031
INTERGENIC,"ENSG00000216867[1,1,1]|retro_human_2159|RPL22P12-201|processed_pseudogene|chr2:111056794-111057281(+)",0.48,0.42299794661190965,487
INTERGENIC,"ENSG00000240356[2,4,3]|RPL23AP7-202|transcribed_processed_pseudogene|chr2:114030549-114051868(-)",0.71,0.41222961730449253,7212
INTERGENIC,"ENSG00000240356[2,4,3]|RPL23AP7-201|transcribed_processed_pseudogene|chr2:114030549-114051868(-)",0.71,0.41222961730449253,7212
INTERGENIC,"ENSG00000144158[1,1,1]|retro_human_8616|SNRPA1P1-201|processed_pseudogene|chr2:114082589-114083457(+)",0.58,0.4769585253456221,868
INTERGENIC,"ENSG00000236878[1,1,1]|MTATP6P26-201|processed_pseudogene|chr2:120645762-120646525(+)",0.36,0.3761467889908257,763
INTERGENIC,"ENSG00000227738[1,1,1]|retro_human_5329|PSMD14P1-201|processed_pseudogene|chr2:124199493-124200494(+)",0.44,0.3876123876123876,1001
INTERGENIC,"ENSG00000274010[1,1,1]|retro_human_9137|ZFP91P1-201|processed_pseudogene|chr2:128275792-128277050(-)",0.54,0.5023847376788553,1258
INTERGENIC,"ENSG00000230756[1,1,1]|retro_human_3188|RHOQP3-201|processed_pseudogene|chr2:130646715-130647436(-)",0.78,0.4909847434119279,721
INTERGENIC,"ENSG00000213225[1,1,1]|retro_human_10407|NOC2LP1-202|transcribed_processed_pseudogene|chr2:130663224-130665559(+)",0.76,0.6068522483940043,2335
INTERGENIC,"ENSG00000213225[3,1,2]|NOC2LP1-201|transcribed_processed_pseudogene|chr2:130665378-130666052(+)",0.7,0.5548961424332344,674
INTERGENIC,"ENSG00000236595[1,1,1]|MED15P5-201|processed_pseudogene|chr2:130685413-130686505(+)",0.57,0.63003663003663,1092
INTERGENIC,"ENSG00000284659[1,1,1]|AC073869.6-201|processed_pseudogene|chr2:131854360-131854580(-)",0.48,0.4863636363636364,220
INTERGENIC,"ENSG00000214077[1,1,1]|retro_human_5102|GNAQP1-201|processed_pseudogene|chr2:131858495-131859662(-)",0.65,0.4910025706940874,1167
INTERGENIC,"ENSG00000232742[1,1,1]|retro_human_7483|RHOQP2-201|processed_pseudogene|chr2:131895715-131896394(+)",0.77,0.4963181148748159,679
INTERGENIC,"ENSG00000230992[1,1,1]|FAM201B-201|processed_pseudogene|chr2:132789016-132789713(+)",0.72,0.7116212338593975,697
INTERGENIC,"ENSG00000233045[1,1,1]|retro_human_2117|RPL15P5-201|processed_pseudogene|chr2:138724226-138724963(+)",0.49,0.4898236092265943,737
INTERGENIC,"ENSG00000229781[1,1,1]|retro_human_6118|RRN3P4-201|processed_pseudogene|chr2:143302376-143304380(+)",0.58,0.4126746506986028,2004
INTERGENIC,"ENSG00000224288[1,1,1]|MTCYBP11-201|processed_pseudogene|chr2:143541297-143542506(-)",0.27,0.38213399503722084,1209
INTERGENIC,"ENSG00000226839[1,1,1]|MTND6P11-201|processed_pseudogene|chr2:143542474-143543057(+)",0.24,0.3481989708404803,583
INTERGENIC,"ENSG00000228848[1,1,1]|retro_human_1324|RPS20P13-201|processed_pseudogene|chr2:149320335-149320792(-)",0.55,0.4420131291028446,457
INTERGENIC,"ENSG00000230562[1,1,1]|FAM133DP-201|processed_pseudogene|chr2:157832814-157833605(-)",0.6,0.3919089759797724,791
INTERGENIC,"ENSG00000229641[1,1,1]|CYP2C56P-201|processed_pseudogene|chr2:164779206-164779597(+)",0.38,0.4680306905370844,391
INTERGENIC,"ENSG00000233762[1,1,1]|retro_human_8427|RPS15P4-201|processed_pseudogene|chr2:171994373-171994917(-)",0.51,0.5955882352941176,544
INTERGENIC,"ENSG00000237617[1,1,1]|AC013410.2-201|processed_pseudogene|chr2:174192198-174192499(-)",0.26,0.3754152823920266,301
INTERGENIC,"ENSG00000235414[1,1,1]|retro_human_6919|RPSAP24-201|processed_pseudogene|chr2:174529314-174530287(+)",0.46,0.4984583761562179,973
INTERGENIC,"ENSG00000179997[1,1,1]|retro_human_8620|RPA3P1-201|processed_pseudogene|chr2:174990572-174991033(+)",0.52,0.40997830802603036,461
INTERGENIC,"ENSG00000235655[1,1,1]|retro_human_8619|H3P6-201|processed_pseudogene|chr2:175208555-175209066(+)",0.58,0.49706457925636005,511
INTERGENIC,"ENSG00000223976[1,1,1]|EXTL2P1-201|processed_pseudogene|chr2:176330901-176331417(+)",0.43,0.374031007751938,516
INTERGENIC,"ENSG00000237260[1,1,1]|retro_human_8638|PPIAP67-201|processed_pseudogene|chr2:176826712-176827253(+)",0.49,0.4436229205175601,541
INTERGENIC,"ENSG00000177855[1,1,1]|retro_human_2591|CACYBPP2-201|processed_pseudogene|chr2:184096092-184096870(-)",0.57,0.4138817480719794,778
INTERGENIC,"ENSG00000227692[1,1,1]|retro_human_2816|MED28P3-201|processed_pseudogene|chr2:186853862-186854493(+)",0.48,0.45166402535657685,631
INTERGENIC,"ENSG00000204253[1,1,1]|retro_human_10600|HNRNPCP2-201|processed_pseudogene|chr2:190412654-190413636(+)",0.49,0.4694501018329939,982
INTERGENIC,"ENSG00000213946[1,1,1]|retro_human_9234|DNAJB1P1-201|processed_pseudogene|chr2:192369353-192370477(-)",0.73,0.5604982206405694,1124
INTERGENIC,"ENSG00000235218[1,1,1]|retro_human_9235|DNAJC17P1-201|processed_pseudogene|chr2:193764985-193766032(-)",0.5,0.5682903533906399,1047
INTERGENIC,"ENSG00000213104[1,1,1]|retro_human_3752|NPM1P46-201|processed_pseudogene|chr2:197863329-197864613(-)",0.54,0.41036269430051814,965
INTERGENIC,"ENSG00000213938[1,1,1]|retro_human_2414|SEPHS1P6-201|processed_pseudogene|chr2:200143255-200144525(+)",0.57,0.5141732283464567,1270
INTERGENIC,"ENSG00000224346[1,1,1]|retro_human_2416|BICD1P1-201|processed_pseudogene|chr2:201327643-201328965(+)",0.49,0.5907715582450832,1322
INTERGENIC,"ENSG00000232719[1,1,1]|retro_human_708|RPL17P10-201|processed_pseudogene|chr2:201584775-201586630(+)",0.46,0.44485025566106645,1369
INTERGENIC,"ENSG00000213082[1,1,1]|retro_human_2060|PPP1R14BP2-201|processed_pseudogene|chr2:208156039-208156583(+)",0.8,0.6525735294117647,544
INTERGENIC,"ENSG00000231254[1,1,1]|retro_human_7524|PCED1CP-201|processed_pseudogene|chr2:213312912-213313797(+)",0.71,0.6926553672316385,885
INTERGENIC,"ENSG00000235444[1,1,1]|retro_human_4796|PSMB3P2-201|processed_pseudogene|chr2:217092687-217093407(-)",0.48,0.5027777777777778,720
INTERGENIC,"ENSG00000231035[1,1,1]|retro_human_905|RPL7L1P9-201|processed_pseudogene|chr2:218243811-218244656(-)",0.38,0.4485207100591716,845
INTERGENIC,"ENSG00000224928[1,1,1]|retro_human_56|KRT8P30-201|processed_pseudogene|chr2:219441723-219442473(-)",0.47,0.5946666666666667,750
INTERGENIC,"ENSG00000235225[1,1,1]|retro_human_7149|RPL31P17-201|processed_pseudogene|chr2:223211513-223211993(+)",0.45,0.42291666666666666,480
INTERGENIC,"ENSG00000172799[1,1,1]|retro_human_3177|ZBTB8OSP2-201|processed_pseudogene|chr2:231918312-231918916(-)",0.44,0.41721854304635764,604
INTERGENIC,"ENSG00000283312[1,1,1]|AC017104.3-201|processed_pseudogene|chr2:231978096-231979788(-)",0.36,0.3599290780141844,1692
INTERGENIC,"ENSG00000224287[2,2,1]|retro_human_3971|MSL3P1-201|transcribed_processed_pseudogene|chr2:234354189-234357298(-)",0.62,0.4451219512195122,2132
INTERGENIC,"ENSG00000224287[2,2,1]|MSL3P1-202|transcribed_processed_pseudogene|chr2:234354189-234357298(-)",0.62,0.4451219512195122,2132
INTERGENIC,"ENSG00000271153[1,1,1]|retro_human_6773|RPL23AP88-1|processed_pseudogene|chr2:242685038-242685589(+)",0.41,0.4664246823956443,551
INTERGENIC,"ENSG00000214074[1,1,1]|retro_human_2551|RPL23AP39-201|processed_pseudogene|chr3:1724126-1724631(+)",0.51,0.46732673267326735,505
INTERGENIC,"ENSG00000229241[1,1,1]|retro_human_4567|PNPT1P1-201|processed_pseudogene|chr3:3977882-3980296(-)",0.57,0.39229494614747307,2414
INTERGENIC,"ENSG00000180438[4,10,5]|TPRXL-205|transcribed_processed_pseudogene|chr3:14004305-14067981(+)",0.49,0.3997593536927749,17453
INTERGENIC,"ENSG00000229468[1,1,1]|retro_human_9199|RPL39P18-201|processed_pseudogene|chr3:20016469-20016724(+)",0.48,0.42745098039215684,255
INTERGENIC,"ENSG00000236380[1,1,1]|retro_human_9200|VENTXP7-201|processed_pseudogene|chr3:21416142-21417016(+)",0.73,0.6521739130434783,874
INTERGENIC,"ENSG00000132967[1,1,1]|retro_human_9197|HMGB1P5-201|transcribed_processed_pseudogene|chr3:22386523-22387256(+)",0.51,0.44747612551159616,733
INTERGENIC,"ENSG00000132967[1,1,2]|HMGB1P5-202|transcribed_processed_pseudogene|chr3:22386523-22387725(+)",0.51,0.4068219633943428,1202
INTERGENIC,"ENSG00000237433[1,1,1]|retro_human_2557|RPSAP11-201|processed_pseudogene|chr3:32187774-32188752(+)",0.43,0.50920245398773,978
INTERGENIC,"ENSG00000227337[1,1,1]|retro_human_2553|RPL23AP43-201|processed_pseudogene|chr3:32783801-32784371(+)",0.49,0.45614035087719296,570
INTERGENIC,"ENSG00000230067[1,1,1]|retro_human_4584|HSPD1P6-201|transcribed_processed_pseudogene|chr3:36768410-36770193(-)",0.51,0.41839596186203026,1783
INTERGENIC,"ENSG00000236165[1,1,1]|retro_human_8406|PRADC1P1-201|processed_pseudogene|chr3:36977632-36978257(+)",0.69,0.5744,625
INTERGENIC,"ENSG00000232439[1,1,1]|retro_human_10484|RPL18AP7-201|processed_pseudogene|chr3:38532795-38533419(-)",0.57,0.5737179487179487,624
INTERGENIC,"ENSG00000228168[1,1,1]|retro_human_2948|HNRNPA1P21-201|processed_pseudogene|chr3:39347825-39348886(+)",0.46,0.46936852026390197,1061
INTERGENIC,"ENSG00000236459[1,1,1]|retro_human_1778|HNRNPA1P22-201|processed_pseudogene|chr3:42904881-42905927(+)",0.49,0.46749521988527726,1046
INTERGENIC,"ENSG00000224094[1,1,1]|retro_human_9416|RPS24P8-201|processed_pseudogene|chr3:45176143-45176645(-)",0.46,0.43227091633466136,502
INTERGENIC,"ENSG00000213509[1,1,1]|retro_human_11054|PPIAP16-201|processed_pseudogene|chr3:57982153-57982740(+)",0.55,0.48722316865417375,587
INTERGENIC,"ENSG00000241506[1,1,1]|retro_human_10666|PSMC1P1-201|processed_pseudogene|chr3:68681101-68682521(+)",0.53,0.4584507042253521,1420
INTERGENIC,"ENSG00000271266[1,1,1]|retro_human_10668|LAPTM4BP2-201|processed_pseudogene|chr3:72926058-72926604(+)",0.47,0.4468864468864469,546
INTERGENIC,"ENSG00000213300[1,1,1]|retro_human_4772|HNRNPA3P6-201|processed_pseudogene|chr3:75256395-75257501(+)",0.61,0.4538878842676311,1106
INTERGENIC,"ENSG00000240665[1,1,1]|LSP1P2-201|processed_pseudogene|chr3:75437217-75437450(+)",0.66,0.592274678111588,233
INTERGENIC,"ENSG00000242953[1,1,1]|AC139453.1-201|processed_pseudogene|chr3:75437433-75437666(-)",0.52,0.4721030042918455,233
INTERGENIC,"ENSG00000272710[1,2,1]|retro_human_635|chr3:75593393-75633251(-)",0.64,0.521594684385382,301
INTERGENIC,"ENSG00000243422[1,1,2]|retro_human_634|RPL23AP49-201|transcribed_processed_pseudogene|chr3:75677830-75678398(-)",0.36,0.44014084507042256,568
